time_dif_buckets,customers_total,"[0, 7)","[0, 7)","[7, 14)","[7, 14)","[14, 21)","[14, 21)","[21, 28)","[21, 28)","[28, 35)","[28, 35)","[35, 42)","[35, 42)","[42, 49)","[42, 49)","[49, 56)","[49, 56)","[56, 63)","[56, 63)","[63, 70)","[63, 70)","[70, 77)","[70, 77)","[77, 84)","[77, 84)","[84, 91)","[84, 91)","[91, 98)","[91, 98)","[98, 105)","[98, 105)","[105, 112)","[105, 112)","[112, 119)","[112, 119)","[119, 126)","[119, 126)","[126, 133)","[126, 133)","[133, 140)","[133, 140)","[140, 147)","[140, 147)","[147, 154)","[147, 154)","[154, 161)","[154, 161)","[161, 168)","[161, 168)","[168, 175)","[168, 175)","[175, 182)","[175, 182)","[182, 189)","[182, 189)"
,,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders,orders,first_orders
cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-09 - 2015-03-15,645,18.76,19.22,4.34,8.68,1.86,5.43,1.4,6.51,1.55,6.51,1.09,4.96,1.09,5.58,0.47,5.43,0.47,4.65,0.62,4.19,0.47,4.5,0.31,3.72,0.47,4.5,0.78,4.19,0.78,4.81,0.0,4.19,0.0,2.64,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-16 - 2015-03-22,493,16.84,17.24,3.85,7.51,1.83,6.29,1.01,5.27,1.01,5.48,1.42,6.69,1.01,5.88,1.01,4.87,0.81,4.06,0.41,6.09,1.22,6.09,0.2,5.27,0.2,5.68,0.61,5.68,0.41,3.85,0.2,3.65,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-23 - 2015-03-29,362,17.4,17.68,3.04,6.63,2.49,8.01,1.38,6.35,1.1,6.63,1.1,4.97,0.83,5.8,1.93,6.35,0.55,5.52,0.0,4.7,0.83,5.52,1.1,6.35,0.83,5.52,0.0,6.35,0.55,3.04,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-30 - 2015-04-05,496,20.16,20.16,2.22,6.25,2.22,8.27,1.61,6.85,1.81,7.66,0.0,5.24,0.4,5.85,0.81,5.85,0.2,4.84,0.2,5.85,0.4,6.85,0.2,5.44,0.0,4.64,0.81,5.44,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-06 - 2015-04-12,365,23.29,23.29,3.01,9.32,1.64,7.95,2.47,6.03,0.55,7.4,1.1,6.85,0.55,5.21,0.27,4.93,0.55,6.58,0.55,6.03,0.55,7.12,0.27,4.11,0.82,4.93,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-13 - 2015-04-19,385,20.52,21.04,4.16,9.35,1.56,9.35,1.3,7.53,1.04,8.57,0.0,4.68,1.3,6.49,0.0,3.64,1.3,7.79,0.78,8.57,0.78,6.75,0.78,5.71,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-20 - 2015-04-26,456,28.51,28.73,2.85,10.31,1.97,6.8,2.19,7.24,0.88,6.14,1.32,7.68,0.44,6.14,1.1,6.36,1.32,7.46,1.1,7.24,1.1,5.48,0.22,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-27 - 2015-05-03,363,33.88,33.88,3.58,9.09,1.38,7.99,1.93,7.44,1.38,8.54,1.65,6.34,1.1,8.54,0.55,6.06,0.83,6.34,0.28,4.96,0.28,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-04 - 2015-05-10,345,30.72,30.72,3.48,9.86,2.03,9.57,3.19,10.72,0.87,8.99,1.16,8.41,2.03,8.7,0.87,7.54,1.16,4.93,0.29,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-11 - 2015-05-17,308,33.12,34.09,5.19,9.74,3.25,10.06,2.6,9.74,2.27,8.77,3.25,10.71,1.3,9.74,0.97,6.49,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-18 - 2015-05-24,371,33.96,34.23,5.66,13.75,2.7,12.4,1.62,8.36,2.16,12.94,0.81,10.51,1.08,6.74,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-25 - 2015-05-31,302,41.39,42.05,4.97,13.25,3.31,11.92,3.97,12.25,1.32,12.25,1.32,6.62,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01 - 2015-06-07,324,44.75,46.91,8.02,16.98,3.7,15.43,2.47,11.11,2.78,9.26,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-08 - 2015-06-14,238,58.4,59.24,7.98,15.55,4.62,15.13,2.1,8.82,0.84,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-15 - 2015-06-21,259,64.86,65.25,6.56,19.69,3.47,12.74,0.39,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-22 - 2015-06-28,184,79.35,80.43,8.15,17.39,0.54,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-29 - 2015-07-05,159,96.23,96.23,1.89,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-06 - 2015-07-12,34,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
